Year,Trimestre,Mois,Properties,Reservation number,Accomodation Rev,Occpancy Ratio,Average Night rate,Booking_Count,Average Night rate 2
2017,Trim 4,décembre,Agba Apartment Morzine,88,"€ 2055,48","22,58 %",66.3058,1,"293,64 €"
2017,Trim 4,décembre,Omaroo I Morzine,97,"€ 436,40","25,81 %",14.0774,1,"54,55 €"
2017,Trim 4,décembre,Omaroo Il Morzine,108,"€ 1467,28","6,45 %",47.3316,1,"209,61 €"
2017,Trim 4,décembre,Omaroo Il Morzine,128,"€ 5440,89","22,58 %",175.5126,1,"777,27 €"
2018,Trim 1,janvier,Agba Apartment Morzine,118,"€ 1381,80","12,90 %",44.5742,1,"345,45 €"
2018,Trim 1,janvier,Agba Apartment Morzine,62,"€ 1369,08","9,68 %",44.1639,1,"456,36 €"
2018,Trim 1,janvier,Agba Apartment Morzine,8,"€ 1221,81","9,68 %",39.4132,1,"407,27 €"
2018,Trim 1,janvier,Ayan Apartment Morzine,38,"€ 1685,44","12,90 %",54.369,1,"421,36 €"
2018,Trim 1,janvier,Ayan Apartment Morzine,46,"€ 916,54","6,45 %",29.5658,1,"458,27 €"
2018,Trim 1,janvier,Ayan Apartment Morzine,82,"€ 1227,27","9,68 %",39.5894,1,"409,09 €"
2018,Trim 1,janvier,Catalpa Apartment Morzine,147,"€ 363,64","8,00 %",14.5456,1,"181,82 €"
2018,Trim 1,janvier,Catalpa Apartment Morzine,216,"€ 668,19","12,00 %",26.7276,1,"222,73 €"
2018,Trim 1,janvier,Catalpa Apartment Morzine,85,"€ 727,26","12,00 %",29.0904,1,"242,42 €"
2018,Trim 1,janvier,Catalpa Apartment Morzine,9,"€ 1087,28","16,00 %",43.4912,1,"271,82 €"
2018,Trim 1,janvier,Ipê Apartment Morzine,37,"€ 1409,44","12,90 %",45.4658,1,"352,36 €"
2018,Trim 1,janvier,Ipê Apartment Morzine,48,"€ 1090,54","12,90 %",35.1787,1,"272,64 €"
2018,Trim 1,janvier,Ipê Apartment Morzine,68,"€ 752,73","9,68 %",24.2816,1,"250,91 €"
